Mandante;N° ID;Item number;Description in operating language;Responsible operator;Product;Commentaires CODIF;Infos nécessaires;Dent client;Review date/Payment due date;Bon pour codif;Temps d'étude (nb jour);Inhouse contact
AE;2105015;30;PAYEN & CIE;;CODIF;PLATINE BRH MONTABERT XL1000 EN CW30S;Non;Non;30/11/2017;06/10/2017;10;PFR
AE;2105015;20;PAYEN & CIE;;CODIF;R30G31 - 1100mm X 740LT EN CW30S EN DENTS FEURST;Non;Non;30/11/2017;06/10/2017;10;PFR
AE;2105015;10;PAYEN & CIE;;CODIF;R30G31 - 600mm X 340LT EN CW30S DENT FEURST ET CL SOUDEE SOUS DENTS;Non;Non;30/11/2017;06/10/2017;10;PFR
AE;2105016;30;BERGERAT MONNOYEUR SAS;;CODIF;r20g11 - 600mm x 205 lt - sans dents repris par qa21;Non;Non;24/11/2017;06/10/2017;10;VBE
AE;2105016;20;BERGERAT MONNOYEUR SAS;;CODIF;r20g11 - 500mm x 165 lt - sans dents repris par qa21;Non;Non;24/11/2017;06/10/2017;10;VBE
AE;2105016;10;BERGERAT MONNOYEUR SAS;;CODIF;r20g11 - 400mm x 130 lt - sans dents repris par qa21;Non;Non;24/11/2017;06/10/2017;10;VBE
AE;2105017;30;LIEBHERR FRANCE;;CODIF;QA51H SUR LI946LC-V SUR BRAS LONG DEMOL  -attente info de JT voir e mail a liebherr;Non;Non;11/12/2017;06/10/2017;10;PFR
AE;2105017;10;LIEBHERR FRANCE;;CODIF;QA70H SUR R946LC-V SUR BRAS TERRASSEMENT  -attente info de JT voir e mail a liebherr;Non;Non;11/12/2017;06/10/2017;10;PFR
AE;2105018;50;KOMATSU FRANCE;;CODIF;KIT RETRO BENNE SANS CARDAN POUR QA05 EMBOUT A DEFINIR. ATTENTE INFO GTH;Oui;Non;24/11/2017;;10;PFR
AE;2105068;70;MANULAND;;CODIF;r50g21- 1200mm x 1000 lt - DENTS AE - AXS REPRIS PAR UA52 CI-DESSUS;Non;Non;11/12/2017;09/10/2017;10;JTA
AE;2105068;30;MANULAND;;CODIF;KUAB52 POUR UA52 EMBASE NUE ENTRAXE JS210;Non;Non;11/12/2017;09/10/2017;10;JTA
